id_senado,sigla_tipo_senado,numero_senado,ano_senado,id_camara,sigla_tipo_camara,numero_camara,ano_camara
100403,PLS,00284,2011,559429,PL,4702,2012
,,,,2151560,PL,8592,2017
,,,,2142920,PL,7976,2017
,,,,604094,PL,6933,2013
,,,,2086224,PL,5441,2016
,,,,2224981,PL,5495,2019
,,,,513920,PL,1932,2011
,,,,2088378,PL,5602,2016
,,,,2190652,PL,165,2019
,,,,2125734,PL,7134,2017
,,,,491331,PL,214,2011
130932,PLS,00346,2017,,,,
,,,,2192387,PL,894,2019
,,,,533876,PL,3118,2012
122094,PLS,00423,2015,,,,
,,,,2053359,PL,3560,2015
,,,,1618389,PL,2626,2015
126575,PLS,00299,2016,,,,
,,,,2196469,PL,1964,2019
,,,,545079,PL,3891,2012
,,,,2189986,PL,11227,2018
,,,,2216911,PL,4679,2019
,,,,533836,PL,3111,2012
,,,,527189,PL,2694,2011
,,,,2164055,PL,9243,2017
,,,,2114324,PL,6310,2016
146671,PL,00521,2021,,,,
135340,PL,00748,2019,,,,
,,,,955443,PL,522,2015
,,,,2090598,PL,5759,2016
,,,,2255749,PL,3424,2020
125601,PLS,00176,2016,,,,
,,,,2257326,PL,3730,2020
,,,,2208745,PL,3653,2019
,,,,561457,PL,4772,2012
130185,PLS,00241,2017,2170713,PL,9939,2018
,,,,2074672,PL,3968,2015
,,,,2082220,PL,5035,2016
,,,,2193966,PL,1490,2019
,,,,2085540,PL,5372,2016
141472,PL,01648,2020,,,,
,,,,2242568,PL,1350,2020
125473,PEC,00017,2016,,,,
132887,PLS,00173,2018,,,,
135673,PL,01399,2019,,,,
,,,,2121920,PL,6772,2016
,,,,2175993,PL,10274,2018
,,,,527543,PL,2724,2011
,,,,2083356,PL,5153,2016
,,,,1701727,PL,2870,2015
,,,,491869,PL,381,2011
,,,,2204030,PL,2987,2019
,,,,2200813,PL,2758,2019
141223,PLP,00050,2020,,,,
,,,,2251491,PL,2389,2020
,,,,2198607,PL,2396,2019
,,,,559135,PL,4684,2012
,,,,519430,PLV,25,2011
132477,MPV,00823,2018,,,,
,,,,2237368,PL,323,2020
141920,PL,02590,2020,,,,
,,,,503504,PL,1419,2011
,,,,2093424,PL,5954,2016
,,,,537016,PL,3422,2012
,,,,1554143,PL,2249,2015
,,,,2206802,PL,3352,2019
,,,,2182677,PL,10704,2018
138722,PL,05025,2019,2121017,PL,6682,2016
,,,,944274,PL,21,2015
,,,,491059,PL,106,2011
,,,,643958,PLP,426,2014
134775,PLS,00470,2018,,,,
,,,,2223597,PL,5351,2019
,,,,2085439,PL,5361,2016
132686,PLS,00132,2018,,,,
,,,,2243056,PL,1547,2020
,,,,2213782,PL,4272,2019
131529,PLC,00138,2017,596306,PL,6569,2013
135570,PL,01279,2019,,,,
,,,,565751,PL,5054,2013
128506,PLS,00073,2017,,,,
123599,PLS,00681,2015,,,,
131950,PLC,00165,2017,2163581,PL,9206,2017
,,,,545770,PLP,181,2012
119628,PEC,00002,2015,,,,
,,,,576175,PL,5533,2013
,,,,2238110,PL,428,2020
,,,,2207468,PL,3435,2019
,,,,2239473,PL,701,2020
,,,,2224493,PL,5433,2019
,,,,605512,PL,7047,2014
,,,,964590,PL,609,2015
,,,,1618375,PL,2620,2015
,,,,2269445,PL,259,2021
,,,,514537,PEC,64,2011
,,,,2180724,PL,10509,2018
,,,,565654,PL,5036,2013
,,,,2222704,PL,5304,2019
,,,,2189075,PL,11180,2018
,,,,565409,PL,5017,2013
111979,PLS,00109,2013,,,,
136523,PEC,00063,2019,,,,
,,,,1671978,PL,2666,2015
,,,,2236983,PL,262,2020
,,,,615040,PL,7543,2014
,,,,616182,PL,7578,2014
,,,,518429,PL,2193,2011
,,,,612842,PL,7420,2014
,,,,511821,PL,1793,2011
,,,,2075626,PL,4100,2015
,,,,2186015,PL,10951,2018
,,,,2209991,PL,3787,2019
,,,,2206681,PL,3338,2019
,,,,2231295,PL,6241,2019
,,,,534403,PLP,132,2012
,,,,1514635,PL,2050,2015
,,,,2247352,PL,1774,2020
136751,PL,02859,2019,,,,
,,,,2178074,PL,10368,2018
,,,,2089026,PL,5651,2016
112645,PLS,00173,2013,,,,
,,,,509937,PEC,45,2011
,,,,2191634,PL,609,2019
,,,,2255155,PLN,15,2020
,,,,2123207,PL,6875,2017
,,,,2238325,PL,488,2020
,,,,2194582,PL,1591,2019
,,,,2233724,PL,6409,2019
,,,,510262,PL,1678,2011
,,,,2190651,PL,164,2019
102268,PLS,00555,2011,,,,
,,,,606235,PL,7129,2014
127808,PLS,00467,2016,,,,
,,,,2155537,PL,8826,2017
,,,,553570,PL,4323,2012
,,,,534073,PL,3147,2012
,,,,493150,PL,528,2011
,,,,2242000,PL,1013,2020
,,,,2158309,PL,8929,2017
,,,,2192429,PLP,40,2019
,,,,2089584,PL,5697,2016
,,,,2160374,PL,9021,2017
,,,,523310,PEC,95,2011
,,,,551577,PL,4185,2012
,,,,588841,PL,6171,2013
,,,,2199539,PL,2565,2019
,,,,2056234,PL,3726,2015
125524,PLS,00166,2016,,,,
119369,PLS,00396,2014,,,,
,,,,2076093,PL,4228,2015
,,,,2268764,PL,105,2021
,,,,2075595,PLP,211,2015
121729,PEC,00075,2015,,,,
,,,,2255463,PL,3390,2020
,,,,2254516,PL,3125,2020
,,,,2190477,PL,37,2019
